action;price;state
buyAUDUSD;0.78564;(1, -1, 0)
buyEURUSD;1.17042;(1, -1, 0)
buyEURUSD;1.17038;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.7858;(1, -1, 0)
buyEURUSD;1.17103;(1, -1, 0)
buyEURUSD;1.17124;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17111;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28706;(1, -1, 0)
buyGBPUSD;1.28722;(1, -1, 0)
buyEURUSD;1.17131;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17127;(1, -1, 0)
buyGBPUSD;1.28715;(1, -1, 0)
buyGBPUSD;1.28715;(1, -1, 0)
buyAUDUSD;0.78602;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78582;(1, -1, 0)
buyAUDUSD;0.78592;(1, -1, 0)
buyAUDUSD;0.78594;(1, -1, 0)
buyAUDUSD;0.78594;(1, -1, 0)
buyAUDUSD;0.78594;(1, -1, 0)
buyGBPUSD;1.28713;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28703;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28674;(1, -1, 0)
buyGBPUSD;1.28672;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78562;(1, -1, 0)
buyGBPUSD;1.28707;(1, -1, 0)
buyGBPUSD;1.28693;(1, -1, 0)
nothing;0.0;(1, -1, 0)
sellEURUSD;1.17183;(0, -1, 0)
buyEURUSD;1.17169;(1, -1, 0)
buyGBPUSD;1.2876;(1, -1, 0)
buyGBPUSD;1.28745;(1, -1, 0)
sellAUDUSD;0.78615;(1, -1, 0)
buyEURUSD;1.17141;(1, -1, 0)
buyEURUSD;1.17143;(1, -1, 0)
buyEURUSD;1.17197;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78644;(0, -1, 0)
buyEURUSD;1.17155;(1, -1, -1)
buyEURUSD;1.1714;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17139;(1, -1, 0)
buyAUDUSD;0.78603;(1, -1, 0)
buyGBPUSD;1.28732;(1, -1, 0)
buyAUDUSD;0.7857;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28737;(1, -1, 0)
buyEURUSD;1.17109;(1, -1, 0)
buyAUDUSD;0.78575;(1, -1, 0)
buyEURUSD;1.17064;(1, -1, 0)
buyAUDUSD;0.78555;(1, -1, 0)
buyAUDUSD;0.7855;(1, -1, 0)
buyGBPUSD;1.28673;(1, -1, 0)
buyEURUSD;1.17053;(1, -1, 0)
buyEURUSD;1.17044;(1, -1, 0)
buyAUDUSD;0.78544;(1, -1, 0)
buyAUDUSD;0.78556;(1, -1, 0)
buyEURUSD;1.17039;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28649;(1, -1, 0)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28515;(2, -1, 1)
buyAUDUSD;0.78524;(1, -1, 1)
buyAUDUSD;0.78556;(1, -1, 1)
buyEURUSD;1.16886;(1, -1, 1)
buyEURUSD;1.16877;(1, -1, 1)
buyAUDUSD;0.78587;(1, -1, 1)
buyAUDUSD;0.78574;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16947;(1, -1, 1)
buyGBPUSD;1.28548;(1, -1, 1)
buyAUDUSD;0.78585;(1, -1, 1)
buyEURUSD;1.16935;(1, -1, 1)
buyAUDUSD;0.78585;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28556;(1, -1, 1)
buyGBPUSD;1.28564;(1, -1, 1)
buyEURUSD;1.16973;(1, -1, 1)
buyEURUSD;1.16974;(1, -1, 1)
buyEURUSD;1.16965;(1, -1, 1)
buyGBPUSD;1.28544;(1, -1, 1)
buyEURUSD;1.16946;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16953;(1, -1, 1)
buyAUDUSD;0.78592;(1, -1, 1)
buyAUDUSD;0.78608;(1, -1, 0)
buyGBPUSD;1.28615;(1, -1, 0)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28573;(1, -1, 1)
buyGBPUSD;1.2859;(1, -1, 1)
nothing;0.0;(1, -1, 1)
sellAUDUSD;0.78625;(1, -1, 1)
buyAUDUSD;0.78635;(1, -1, 1)
buyEURUSD;1.16997;(1, -1, 0)
buyAUDUSD;0.78664;(1, -1, 0)
buyEURUSD;1.16998;(1, -2, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28578;(1, -1, 1)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28609;(1, -1, 0)
buyEURUSD;1.16991;(1, -2, 0)
buyGBPUSD;1.28587;(1, -2, 1)
buyGBPUSD;1.28602;(1, -2, 0)
buyGBPUSD;1.28591;(1, -2, 1)
buyEURUSD;1.16964;(1, -2, 0)
buyGBPUSD;1.28604;(1, -1, 0)
buyAUDUSD;0.78725;(1, -2, 0)
nothing;0.0;(1, -2, 0)
buyEURUSD;1.1696;(1, -2, 0)
buyAUDUSD;0.78775;(1, -2, 0)
buyGBPUSD;1.28592;(1, -2, 1)
nothing;0.0;(1, -2, 0)
buyGBPUSD;1.2861;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28599;(1, -1, 0)
buyAUDUSD;0.78879;(1, -2, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17044;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.7883;(1, -1, 1)
buyGBPUSD;1.28551;(1, -1, 1)
buyAUDUSD;0.78834;(1, -1, 1)
buyGBPUSD;1.28538;(1, -1, 1)
buyEURUSD;1.17049;(1, -1, 1)
buyGBPUSD;1.28566;(1, -1, 1)
buyAUDUSD;0.78847;(1, -1, 1)
sellEURUSD;1.17073;(1, -1, 1)
buyEURUSD;1.1707;(1, -1, 1)
buyEURUSD;1.17056;(1, -1, 1)
buyGBPUSD;1.28559;(1, -1, 1)
buyGBPUSD;1.28576;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17063;(1, -1, 1)
buyGBPUSD;1.28573;(1, -1, 1)
buyAUDUSD;0.78822;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.2852;(1, -1, 1)
buyGBPUSD;1.28515;(1, -1, 1)
buyEURUSD;1.17047;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78823;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17098;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17108;(1, -1, 0)
buyAUDUSD;0.78845;(1, -1, 0)
buyEURUSD;1.17105;(1, -1, 0)
buyEURUSD;1.17117;(1, -1, 0)
buyAUDUSD;0.78857;(1, -1, 0)
buyEURUSD;1.17134;(1, -1, 0)
buyEURUSD;1.1713;(1, -1, 0)
buyAUDUSD;0.78859;(1, -1, 0)
sellAUDUSD;0.78862;(1, -1, 0)
buyAUDUSD;0.78873;(1, -1, 0)
buyEURUSD;1.17161;(0, -2, 0)
nothing;0.0;(1, -2, 0)
buyGBPUSD;1.28657;(1, -2, 0)
buyEURUSD;1.17155;(1, -1, 0)
buyGBPUSD;1.28657;(1, -1, 0)
buyAUDUSD;0.78891;(1, -1, 0)
buyAUDUSD;0.78924;(1, -2, 0)
buyAUDUSD;0.78904;(1, -1, 0)
buyGBPUSD;1.2872;(1, -1, 0)
buyGBPUSD;1.28722;(1, -1, 0)
buyEURUSD;1.17042;(1, -1, 0)
buyAUDUSD;0.78859;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyAUDUSD;0.78839;(1, -1, 0)
buyGBPUSD;1.28689;(1, -1, 0)
