Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
-103.73032000000832;408.929679999993;95207.92968000002;95104.19936000001;2065
-105.27471999999926;408.929679999993;95207.92968000002;95102.65496000001;2066
-100.26866999999187;408.929679999993;95207.92968000002;95107.66101000003;2067
-81.14881999999437;408.929679999993;95207.92968000002;95126.78086000003;2068
-95.395160000006;408.929679999993;95207.92968000002;95112.53452000002;2069
-122.58269999999956;408.929679999993;95207.92968000002;95085.34698000002;2070
-119.22867999999622;408.929679999993;95207.92968000002;95088.70100000002;2071
-111.42455999999994;408.929679999993;95207.92968000002;95096.50512000002;2072
-142.33598999999978;408.929679999993;95207.92968000002;95065.59369000001;2073
-132.57893999999428;408.929679999993;95207.92968000002;95075.35074000002;2074
-141.56240000000554;408.929679999993;95207.92968000002;95066.36728;2075
-139.2343800000107;408.929679999993;95207.92968000002;95068.6953;2076
-143.76654000000525;408.929679999993;95207.92968000002;95064.16314;2077
-159.99588000001137;408.929679999993;95207.92968000002;95047.9338;2078
-208.50940999999506;408.929679999993;95207.92968000002;94999.42027000002;2079
-200.07921999999883;408.929679999993;95207.92968000002;95007.85046000002;2080
-199.67121000000907;408.929679999993;95207.92968000002;95008.25847;2081
-227.40348000000358;408.929679999993;95207.92968000002;94980.52620000001;2082
-233.12927000000235;408.929679999993;95207.92968000002;94974.80041000001;2083
-225.94735999999037;408.929679999993;95207.92968000002;94981.98232000002;2084
-203.21042999998915;408.929679999993;95207.92968000002;95004.71925000002;2085
-196.24232999999947;408.929679999993;95207.92968000002;95011.68735000002;2086
-198.7957599999994;408.929679999993;95207.92968000002;95009.13392000002;2087
-195.31895999999634;408.929679999993;95207.92968000002;95012.61072000003;2088
-225.4508599999966;408.929679999993;95207.92968000002;94982.47882000002;2089
-196.34176999999383;408.929679999993;95207.92968000002;95011.58791000002;2090
-177.83764999999548;408.929679999993;95207.92968000002;95030.09203000001;2091
-158.37987999999615;408.929679999993;95207.92968000002;95049.54980000002;2092
-161.90864999999872;408.929679999993;95207.92968000002;95046.02103000002;2093
-151.1180599999952;408.929679999993;95207.92968000002;95056.81162000002;2094
-177.2002999999918;408.929679999993;95207.92968000002;95030.72938000002;2095
-155.0048500000097;408.929679999993;95207.92968000002;95052.92483;2096
-170.35182999998932;408.929679999993;95207.92968000002;95037.57785000003;2097
-172.43605999998934;408.929679999993;95207.92968000002;95035.49362000002;2098
-155.45700999999178;408.929679999993;95207.92968000002;95052.47267000002;2099
-178.67402000001;408.929679999993;95207.92968000002;95029.25566000001;2100
-186.87506000000567;408.929679999993;95207.92968000002;95021.05462000001;2101
-189.7220400000044;408.929679999993;95207.92968000002;95018.20764000001;2102
